	encoder	sensor
1	0.0446447	0
2	0.0446447	0
3	0.0446447	0
4	0.0446447	0
5	0.0446447	0
6	0.0446447	0
7	0.0446447	0
8	0.044645	0
9	0.044645	0
10	0.044645	0
11	0.0446456	0
12	0.0446466	0
13	0.0446484	0
14	0.0446519	0
15	0.0446569	0
16	0.0446637	0
17	0.0446722	0
18	0.0446825	0
19	0.0446941	0
20	0.0447072	0
21	0.0447219	0
22	0.0447378	0
23	0.0447547	0
24	0.0447734	0
25	0.0447934	0
26	0.0448156	0
27	0.04484	0
28	0.0448666	0
29	0.044895	0
30	0.0449247	0
31	0.044955	0
32	0.0449866	0
33	0.04502	0
34	0.0450562	0
35	0.0450956	0
36	0.0451375	0
37	0.0451816	0
38	0.0452281	0
39	0.0452778	0
40	0.04533	0
41	0.0453841	0
42	0.0454394	0
43	0.0454966	0
44	0.0455559	0
45	0.0456172	0
46	0.0456809	0
47	0.0457478	0
48	0.0458178	0
49	0.0458906	0
50	0.0459662	0
51	0.0460441	0
52	0.0461238	0
53	0.0462063	0
54	0.0462903	0
55	0.0463766	0
56	0.0464656	0
57	0.0465578	0
58	0.0466525	0
59	0.0467497	0
60	0.0468488	0
61	0.0469497	0
62	0.0470528	0
63	0.0471588	0
64	0.0472678	0
65	0.0473784	0
66	0.0474916	0
67	0.0476062	0
68	0.0477234	0
69	0.0478438	0
70	0.0479662	0
71	0.0480909	0
72	0.0482181	0
73	0.0483472	0
74	0.04848	0
75	0.0486144	0
76	0.0487512	0
77	0.0488903	0
78	0.0490316	0
79	0.0491756	0
80	0.0493222	0
81	0.0494706	0
82	0.0496216	0
83	0.0497756	0
84	0.0499316	0
85	0.0500897	0
86	0.0502503	0
87	0.0504131	0
88	0.0505784	0
89	0.0507456	0
90	0.0509156	0
91	0.0510884	0
92	0.0512631	0
93	0.05144	0
94	0.0516194	0
95	0.0518019	0
96	0.0519863	0
97	0.0521734	0
98	0.0523631	0
99	0.052555	0
100	0.0527491	0
101	0.0529453	0
102	0.0531434	0
103	0.0533428	0
104	0.0535453	0
105	0.0537491	0
106	0.0539541	0
107	0.0541609	0
108	0.0543687	0
109	0.0545778	0
110	0.0547887	0
111	0.0550003	0
112	0.0552134	0
113	0.0554278	0
114	0.0556428	0
115	0.0558584	0
116	0.0560753	0
117	0.0562928	0
118	0.0565112	0
119	0.0567306	0
120	0.0569513	0
121	0.0571725	0
122	0.0573947	0
123	0.0576175	0
124	0.0578409	0
125	0.0580647	0
126	0.0582887	0
127	0.0585141	0
128	0.0587394	0
129	0.0589647	0
130	0.05919	0
131	0.0594156	0
132	0.0596406	0
133	0.0598662	0
134	0.0600912	0
135	0.0603162	0
136	0.0605406	0
137	0.060765	0
138	0.0609897	0
139	0.0612141	0
140	0.0614381	0
141	0.0616622	0
142	0.0618866	0
143	0.0621103	0
144	0.062335	0
145	0.0625594	0
146	0.0627837	0
147	0.0630081	0
148	0.0632325	0
149	0.0634572	0
150	0.0636819	0
151	0.0639072	0
152	0.0641319	0
153	0.0643569	0
