	encoder	sensor
1	0.0446447	0
2	0.0446447	0
3	0.0446447	0
4	0.0446447	0
5	0.0446447	0
6	0.0446447	0
7	0.0446447	0
8	0.0446447	0
9	0.044645	0
10	0.044645	0
11	0.0446453	0
12	0.0446462	0
13	0.0446488	0
14	0.0446541	0
15	0.0446619	0
16	0.0446722	0
17	0.0446844	0
18	0.0446984	0
19	0.0447141	0
20	0.0447306	0
21	0.0447484	0
22	0.0447672	0
23	0.0447881	0
24	0.0448112	0
25	0.0448372	0
26	0.0448659	0
27	0.0448966	0
28	0.0449281	0
29	0.04496	0
30	0.0449931	0
31	0.0450284	0
32	0.0450681	0
33	0.0451119	0
34	0.0451591	0
35	0.0452094	0
36	0.0452625	0
37	0.0453191	0
38	0.0453775	0
39	0.0454369	0
40	0.0454981	0
41	0.0455625	0
42	0.0456303	0
43	0.0457028	0
44	0.0457809	0
45	0.0458634	0
46	0.0459506	0
47	0.0460403	0
48	0.0461328	0
49	0.0462278	0
50	0.0463256	0
51	0.0464272	0
52	0.0465341	0
53	0.0466462	0
54	0.0467625	0
55	0.0468825	0
56	0.0470053	0
57	0.0471316	0
58	0.0472619	0
59	0.0473953	0
60	0.0475313	0
61	0.0476694	0
62	0.0478109	0
63	0.0479559	0
64	0.0481031	0
65	0.0482528	0
66	0.048405	0
67	0.0485606	0
68	0.0487178	0
69	0.0488772	0
70	0.0490381	0
71	0.0492016	0
72	0.0493669	0
73	0.0495344	0
74	0.0497034	0
75	0.0498753	0
76	0.0500484	0
77	0.0502234	0
78	0.0504003	0
79	0.0505784	0
80	0.0507575	0
81	0.0509384	0
82	0.0511209	0
83	0.0513047	0
84	0.0514894	0
85	0.0516753	0
86	0.0518625	0
87	0.05205	0
88	0.0522391	0
89	0.0524284	0
90	0.0526181	0
91	0.0528084	0
92	0.0529994	0
93	0.0531906	0
94	0.0533822	0
95	0.053575	0
96	0.0537681	0
97	0.0539609	0
98	0.0541538	0
99	0.0543462	0
100	0.0545381	0
101	0.05473	0
102	0.0549216	0
103	0.0551125	0
104	0.0553034	0
105	0.0554941	0
106	0.0556844	0
107	0.0558747	0
108	0.0560656	0
109	0.0562569	0
110	0.0564481	0
111	0.0566397	0
112	0.0568316	0
113	0.0570231	0
114	0.0572153	0
115	0.0574078	0
116	0.0576006	0
117	0.0577934	0
118	0.0579866	0
119	0.0581791	0
120	0.0583709	0
121	0.0585638	0
122	0.0587563	0
123	0.0589484	0
124	0.0591406	0
125	0.0593325	0
126	0.0595244	0
127	0.0597159	0
128	0.0599078	0
129	0.0600994	0
130	0.0602906	0
131	0.0604813	0
132	0.0606719	0
133	0.0608625	0
134	0.0610541	0
135	0.0612459	0
136	0.0614375	0
137	0.0616297	0
138	0.0618222	0
139	0.0620144	0
140	0.0622069	0
141	0.0623994	0
142	0.0625916	0
143	0.0627837	0
144	0.0629766	0
145	0.0631694	0
146	0.0633612	0
147	0.0635544	0
148	0.0637469	0
149	0.0639391	0
150	0.0641309	0
151	0.0643228	0
152	0.0645141	0
153	0.0647056	0
