	encoder	sensor
1	0.037904	0
2	0.037904	0
3	0.037904	0
4	0.037905	0
5	0.037905	0
6	0.037908	0
7	0.037913	0
8	0.037919	0
9	0.037927	0
10	0.037935	0
11	0.037945	0
12	0.037956	0
13	0.03797	0
14	0.037987	0
15	0.038006	0
16	0.038028	0
17	0.038052	0
18	0.03808	0
19	0.038109	0
20	0.038142	0
21	0.038178	0
22	0.038218	0
23	0.038263	0
24	0.038311	0
25	0.038362	0
26	0.038416	0
27	0.038475	0
28	0.038536	0
29	0.038601	0
30	0.038671	0
31	0.038743	0
32	0.03882	0
33	0.038898	0
34	0.038981	0
35	0.039067	0
36	0.039159	0
37	0.039252	0
38	0.039351	0
39	0.039452	0
40	0.039555	0
41	0.039663	0
42	0.039776	0
43	0.03989	0
44	0.04001	0
45	0.040132	0
46	0.040259	0
47	0.040389	0
48	0.040522	0
49	0.040658	0
50	0.040798	0
51	0.040942	0
52	0.041089	0
53	0.04124	0
54	0.041395	0
55	0.041553	0
56	0.041715	0
57	0.041881	0
58	0.04205	0
59	0.042222	0
60	0.042399	0
61	0.042579	1
62	0.04276	1
63	0.042944	1
64	0.043131	1
65	0.043322	1
66	0.043515	1
67	0.043711	0
68	0.043907	0
69	0.044103	0
70	0.044304	0
71	0.044507	0
72	0.04471	0
73	0.044916	0
74	0.045121	0
75	0.045327	0
76	0.045533	0
77	0.045738	0
78	0.045947	0
79	0.046156	0
80	0.046364	0
81	0.046571	0
82	0.046777	0
83	0.046987	0
84	0.047193	0
85	0.047401	0
86	0.047609	0
87	0.047818	0
88	0.048026	0
89	0.048233	0
90	0.04844	0
91	0.048648	0
92	0.048858	0
93	0.049065	0
94	0.049273	0
95	0.049481	0
96	0.04969	0
97	0.049895	0
98	0.050103	0
99	0.050313	0
100	0.050521	0
101	0.050728	0
102	0.050936	0
103	0.051145	0
104	0.051352	0
105	0.051559	0
106	0.051768	0
107	0.051976	0
108	0.052183	0
109	0.05239	0
110	0.052601	1
111	0.052808	1
112	0.053013	1
113	0.05322	1
114	0.05343	1
115	0.05364	0
116	0.053848	0
117	0.054055	0
118	0.054263	0
119	0.05447	0
120	0.054678	0
121	0.054888	0
122	0.055097	0
123	0.055303	0
124	0.055509	0
125	0.055717	0
126	0.055925	0
127	0.056133	0
128	0.056343	0
129	0.05655	0
130	0.056758	0
131	0.056965	0
132	0.057173	0
133	0.057381	0
134	0.05759	0
135	0.057797	0
136	0.058004	0
137	0.058213	0
138	0.058421	0
139	0.058628	0
140	0.058836	0
141	0.059045	0
142	0.059252	0
143	0.05946	0
144	0.059669	0
145	0.059878	0
146	0.060085	0
147	0.060292	0
148	0.0605	0
149	0.060709	0
150	0.060917	0
151	0.061123	0
152	0.06133	0
153	0.06154	0
154	0.061747	0
155	0.061955	0
156	0.062164	0
157	0.062373	0
158	0.062581	1
159	0.062787	1
160	0.062993	1
161	0.063201	1
162	0.063411	0
163	0.063618	0
164	0.063826	0
165	0.064036	0
166	0.064244	0
167	0.064449	0
168	0.064657	0
169	0.064868	0
170	0.065077	0
171	0.065283	0
172	0.065491	0
173	0.065699	0
174	0.065905	0
175	0.066112	0
176	0.066322	0
177	0.066531	0
178	0.066737	0
179	0.066944	0
180	0.067153	0
181	0.067361	0
182	0.067569	0
183	0.067776	0
184	0.067985	0
185	0.068194	0
186	0.068401	0
187	0.068607	0
188	0.068817	0
189	0.069026	0
190	0.069233	0
191	0.069439	0
192	0.069649	0
193	0.069857	0
194	0.070064	0
195	0.070271	0
196	0.07048	0
197	0.07069	0
198	0.070897	0
199	0.071103	0
200	0.071311	0
201	0.071521	0
202	0.071728	0
203	0.071934	0
204	0.072143	0
205	0.072352	0
206	0.07256	1
207	0.072767	1
208	0.072973	1
209	0.073181	1
210	0.07339	0
211	0.073599	0
212	0.073807	0
213	0.074015	0
214	0.074224	0
215	0.07443	0
216	0.074636	0
217	0.074846	0
218	0.075058	0
219	0.075264	0
220	0.07547	0
221	0.075677	0
222	0.075885	0
223	0.076094	0
224	0.076302	0
225	0.07651	0
226	0.076718	0
227	0.076925	0
228	0.077133	0
229	0.077341	0
230	0.077549	0
231	0.077757	0
232	0.077964	0
233	0.078172	0
234	0.078381	0
235	0.078589	0
236	0.078796	0
237	0.079004	0
238	0.079213	0
239	0.07942	0
240	0.079628	0
241	0.079838	0
242	0.080046	0
243	0.080253	0
244	0.080459	0
245	0.080667	0
246	0.080876	0
247	0.081084	0
248	0.081291	0
249	0.081499	0
250	0.081708	0
251	0.081915	0
252	0.082122	0
253	0.082332	0
254	0.082542	1
255	0.082748	1
256	0.082952	1
257	0.08316	1
258	0.08337	1
259	0.083579	0
260	0.083786	0
261	0.083993	0
262	0.084204	0
263	0.084412	0
264	0.084617	0
265	0.084826	0
266	0.085038	0
267	0.085244	0
268	0.08545	0
269	0.085659	0
270	0.085866	0
271	0.086073	0
272	0.08628	0
273	0.08649	0
274	0.0867	0
275	0.086905	0
276	0.087111	0
277	0.08732	0
278	0.08753	0
279	0.087737	0
280	0.087944	0
281	0.088153	0
282	0.088362	0
283	0.088569	0
284	0.088775	0
285	0.088986	0
286	0.089194	0
287	0.0894	0
288	0.089606	0
289	0.089816	0
290	0.090026	0
291	0.090232	0
292	0.090439	0
293	0.090648	0
294	0.090857	0
295	0.091064	0
296	0.091272	0
297	0.09148	0
298	0.091688	0
299	0.091895	0
300	0.092102	0
301	0.092312	0
302	0.09252	1
303	0.092726	1
304	0.092934	1
305	0.093141	1
306	0.093349	1
307	0.093559	0
308	0.093768	0
309	0.093976	0
310	0.094183	0
311	0.09439	0
312	0.094598	0
313	0.094807	0
314	0.095016	0
315	0.095223	0
316	0.09543	0
317	0.095639	0
318	0.095846	0
319	0.096053	0
320	0.096261	0
321	0.09647	0
322	0.096678	0
323	0.096886	0
324	0.097093	0
325	0.097301	0
326	0.09751	0
327	0.097718	0
328	0.097925	0
329	0.098132	0
330	0.09834	0
331	0.098549	0
332	0.098757	0
333	0.098964	0
334	0.099171	0
335	0.099381	0
336	0.099589	0
337	0.099797	0
338	0.100004	0
339	0.100213	0
340	0.100421	0
341	0.100627	0
342	0.100835	0
343	0.101044	0
344	0.101253	0
345	0.101459	0
346	0.101667	0
347	0.101876	0
348	0.102083	0
349	0.102291	0
350	0.1025	1
351	0.102709	1
352	0.102915	1
353	0.10312	1
354	0.103328	1
355	0.103539	0
356	0.103749	0
357	0.103954	0
358	0.104159	0
359	0.104371	0
360	0.10458	0
361	0.104786	0
362	0.104995	0
363	0.105205	0
364	0.105411	0
365	0.105617	0
366	0.105825	0
367	0.106034	0
368	0.106241	0
369	0.106449	0
370	0.106658	0
371	0.106867	0
372	0.107074	0
373	0.107278	0
374	0.107488	0
375	0.107699	0
376	0.107905	0
377	0.108111	0
378	0.108321	0
379	0.10853	0
380	0.108737	0
381	0.108943	0
382	0.109152	0
383	0.109362	0
384	0.109569	0
385	0.109774	0
386	0.109983	0
387	0.110194	0
388	0.110401	0
389	0.110607	0
390	0.110816	0
391	0.111026	0
392	0.111232	0
393	0.111439	0
394	0.111647	0
395	0.111856	0
396	0.112063	0
397	0.11227	0
398	0.11248	1
399	0.112688	1
400	0.112893	1
401	0.1131	1
402	0.113309	0
403	0.113519	0
404	0.113728	0
405	0.113935	0
406	0.114143	0
407	0.11435	0
408	0.114557	0
409	0.114765	0
410	0.114976	0
411	0.115186	0
412	0.11539	0
413	0.115597	0
414	0.115807	0
415	0.116014	0
416	0.116221	0
417	0.116429	0
418	0.116638	0
419	0.116847	0
420	0.117053	0
421	0.11726	0
422	0.117469	0
423	0.117678	0
424	0.117884	0
425	0.118093	0
426	0.118301	0
427	0.118508	0
428	0.118716	0
429	0.118924	0
430	0.119133	0
431	0.11934	0
432	0.119549	0
433	0.119758	0
434	0.119965	0
435	0.120172	0
436	0.12038	0
437	0.120588	0
438	0.120795	0
439	0.121004	0
440	0.121212	0
441	0.121421	0
442	0.121628	0
443	0.121833	0
444	0.122043	0
445	0.122252	0
446	0.12246	0
447	0.122667	1
448	0.122874	1
449	0.123082	1
450	0.123289	1
451	0.123497	1
452	0.123707	0
453	0.123917	0
454	0.124122	0
455	0.124328	0
456	0.124538	0
457	0.124748	0
458	0.124956	0
459	0.125164	0
460	0.125372	0
461	0.125579	0
462	0.125784	0
463	0.125992	0
464	0.126202	0
465	0.12641	0
466	0.126617	0
467	0.126825	0
468	0.127034	0
469	0.127241	0
470	0.127447	0
471	0.127656	0
472	0.127867	0
473	0.128074	0
474	0.12828	0
475	0.128489	0
476	0.128698	0
477	0.128905	0
478	0.129111	0
479	0.129319	0
480	0.129529	0
481	0.129738	0
482	0.129942	0
483	0.130152	0
484	0.130362	0
485	0.130568	0
486	0.130774	0
487	0.130985	0
488	0.131193	0
489	0.1314	0
490	0.131606	0
491	0.131813	0
492	0.132024	0
493	0.132232	0
494	0.132439	0
495	0.132647	1
496	0.132856	1
497	0.133061	1
498	0.133268	1
499	0.133477	1
500	0.133689	0
501	0.133896	0
502	0.134102	0
503	0.134309	0
504	0.134518	0
505	0.134726	0
506	0.134934	0
507	0.135144	0
508	0.135352	0
509	0.135558	0
510	0.135764	0
511	0.135973	0
512	0.136182	0
513	0.13639	0
514	0.136597	0
515	0.136805	0
516	0.137015	0
517	0.137221	0
518	0.137427	0
519	0.137638	0
520	0.137846	0
521	0.138052	0
522	0.138259	0
523	0.138469	0
524	0.138678	0
525	0.138884	0
526	0.139092	0
527	0.1393	0
528	0.139509	0
529	0.139718	0
530	0.139924	0
531	0.140132	0
532	0.140341	0
533	0.140547	0
534	0.140755	0
535	0.140965	0
536	0.141173	0
537	0.14138	0
538	0.141588	0
539	0.141795	0
540	0.142002	0
541	0.142212	0
542	0.142421	0
543	0.142627	1
